날짜,명칭,휴일여부,비고
20160101,신정,Y,
20160207,설날,Y,
20160208,설날,Y,
20160209,설날,Y,
20160210,대체공휴일,Y,
20160301,삼일절,Y,
20160413,국회의원선거일,Y,
20160505,어린이날,Y,
20160506,임시공휴일,Y,
20160514,석가탄신일,Y,
20160606,현충일,Y,
20160717,제헌절,N,국경일(2014. 12. 30. 법률 12915호)이지만 관공서의 공휴일(2013. 11. 05. 대통령령 24828호)이 아님.
20160815,광복절,Y,
20160914,추석,Y,
20160915,추석,Y,
20160916,추석,Y,
20161003,개천절,Y,
20161009,한글날,Y,
20161225,기독탄신일,Y,
20170101,신정,Y,
20170127,설날,Y,
20170128,설날,Y,
20170129,설날,Y,
20170130,대체공휴일,Y,
20170301,삼일절,Y,
20170503,석가탄신일,Y,
20170505,어린이날,Y,
20170509,대통령선거일,Y,
20170606,현충일,Y,
20170717,제헌절,N,국경일(2014. 12. 30. 법률 12915호)이지만 관공서의 공휴일(2013. 11. 05. 대통령령 24828호)이 아님.
20170815,광복절,Y,
20171002,임시공휴일,Y,
20171003,개천절,Y,
20171003,추석,Y,
20171004,추석,Y,
20171005,추석,Y,
20171006,대체공휴일,Y,
20171009,한글날,Y,
20171225,기독탄신일,Y,
20180101,1월1일,Y,
20180215,설날,Y,
20180216,설날,Y,
20180217,설날,Y,
20180301,삼일절,Y,
20180505,어린이날,Y,
20180507,대체휴무일,Y,
20180522,부처님오신날,Y,
20180606,현충일,Y,
20180613,전국동시지방선거,Y,
20180717,제헌절,N,국경일(2014. 12. 30. 법률 12915호)이지만 관공서의 공휴일(2013. 11. 05. 대통령령 24828호)이 아님.
20180815,광복절,Y,
20180923,추석,Y,
20180924,추석,Y,
20180925,추석,Y,
20180926,대체휴무일,Y,
20181003,개천절,Y,
20181009,한글날,Y,
20181225,기독탄신일,Y,
20190101,1월1일,Y,
20190204,설날,Y,
20190205,설날,Y,
20190206,설날,Y,
20190301,삼일절,Y,
20190505,어린이날,Y,
20190506,대체공휴일,Y,
20190512,부처님오신날,Y,
20190606,현충일,Y,
20190717,제헌절,N,"국경일이지만, 관공서의 공휴일이 아님."
20190815,광복절,Y,
20190912,추석,Y,
20190913,추석,Y,
20190914,추석,Y,
20191003,개천절,Y,
20191009,한글날,Y,
20191225,기독탄신일,Y,
20200101,1월1일,Y,
20200124,설날,Y,
20200125,설날,Y,
20200126,설날,Y,
20200127,설날,Y,
20200301,삼일절,Y,
20200415,제21대 국회의원선거,Y,
20200430,부처님오신날,Y,
20200505,어린이날,Y,
20200606,현충일,Y,
20200717,제헌절,N,"국경일이지만, 관공서의 공휴일이 아님."
20200815,광복절,Y,
20200817,임시공휴일,Y,
20200930,추석,Y,
20201001,추석,Y,
20201002,추석,Y,
20201003,개천절,Y,
20201009,한글날,Y,
20201225,기독탄신일,Y,
