입국자국가,국가코드,입국연월,입국자 수
일본,130,202201,1162
일본,130,202202,2934
일본,130,202203,1397
일본,130,202204,2231
일본,130,202205,3701
일본,130,202206,5855
일본,130,202207,11789
일본,130,202208,26482
일본,130,202209,27560
일본,130,202210,67159
일본,130,202211,62422
일본,130,202212,84175
일본,130,202301,66900
일본,130,202302,94393
